"","Team","year","W/L%","Conference","MadePlayoffs","EFG","Opp_EFG","TTP","DTTP","ORebRate","DRebRate","FTR","OFTR"
"641","New York Knicks",2010,0.354,"East","No",0.508798720186155,0.525717183425094,0.2273735581189,0.220183896398075,0.222992798079488,0.697746478873239,0.200116346713205,0.207041437264561
"642","New York Knicks",2014,0.451,"East","No",0.50549042884701,0.514060303077644,0.220320013264799,0.237224100218731,0.234375,0.702913181424863,0.188603650393233,0.244961724730511
"643","New York Knicks",2015,0.207,"East","No",0.470115967885816,0.512439320388349,0.252248483580841,0.227054319742895,0.225546305931322,0.686043246279135,0.18004757656854,0.234071601941748
"644","New York Knicks",2016,0.39,"East","No",0.483154225965728,0.487135749822317,0.224637799653334,0.190007296936107,0.219979296066253,0.711043101249681,0.204908510020331,0.203980099502488
"645","New York Knicks",1981,0.61,"East","Yes",0.48697450034459,0.504300620417372,0.242858852629059,0.270751645713316,0.3032,0.623409669211196,0.245761543762922,0.220389170896785
"646","New York Knicks",1983,0.537,"East","Yes",0.484101280730163,0.478003640776699,0.260843410981352,0.289580607396185,0.306731042317523,0.654046242774566,0.238627999411159,0.257129854368932
"647","New York Knicks",1984,0.573,"East","Yes",0.498683633172444,0.491401226259907,0.261131404877086,0.279032290153791,0.315270935960591,0.650714911000875,0.284335234752084,0.280544339763721
"648","New York Knicks",1988,0.463,"East","Yes",0.477392146017699,0.485692995529061,0.257478407772523,0.268803027206624,0.332385629361592,0.625427594070696,0.241980088495575,0.324441132637854
"649","New York Knicks",1989,0.634,"East","Yes",0.511627906976744,0.504484914378907,0.24896896440314,0.264759395194178,0.338107416879795,0.608543793659323,0.233740638549468,0.249252514270182
"650","New York Knicks",1990,0.549,"East","Yes",0.501057977147694,0.482166890982503,0.240154025131132,0.225473020322355,0.324760601915185,0.616831934909738,0.250387924954154,0.21507402422611
"651","New York Knicks",1991,0.476,"East","Yes",0.498460861917326,0.488899748673555,0.244864765043468,0.225834439114015,0.299658508821855,0.649253731343284,0.242450894165934,0.205389555989947
"652","New York Knicks",1992,0.622,"East","Yes",0.491219231322873,0.471458302363609,0.227657655676044,0.236254133028668,0.325997248968363,0.682853223593964,0.216352382323305,0.247658688865765
"653","New York Knicks",1993,0.732,"East","Yes",0.479196868657582,0.443588581785229,0.234610900717591,0.255731391780492,0.311737598265112,0.70018425901553,0.248912728327051,0.294366409907869
"654","New York Knicks",1994,0.695,"East","Yes",0.483444691907944,0.451015346457914,0.25275615721433,0.271352789200923,0.323068463018972,0.693020719738277,0.232219747587231,0.261044799255929
"655","New York Knicks",1995,0.671,"East","Yes",0.50844541757898,0.467784711388456,0.24999233739962,0.245839784034418,0.272513933704899,0.685041551246537,0.242727557084767,0.281123244929797
"656","New York Knicks",1996,0.573,"East","Yes",0.508539642745221,0.47596971101839,0.247723360001246,0.252734536868359,0.245338857650192,0.678017718715393,0.231902225007835,0.250502240766497
"657","New York Knicks",1997,0.695,"East","Yes",0.500562068411755,0.463249362244898,0.27708496008612,0.26400430962774,0.290881913303438,0.697532575547546,0.254536695037739,0.279336734693878
"658","New York Knicks",1998,0.524,"East","Yes",0.476376111024482,0.455057096247961,0.254060485546872,0.253296549912147,0.275570583262891,0.694238448374216,0.218150631529705,0.28189233278956
"659","New York Knicks",1999,0.54,"East","Yes",0.462742980561555,0.434036939313984,0.272549764061398,0.265842992989519,0.263132760267431,0.667550839964633,0.240820734341253,0.258311345646438
"660","New York Knicks",2000,0.61,"East","Yes",0.482036397866332,0.455298530790872,0.245492825313765,0.240905355942332,0.230658613747483,0.68375372931923,0.221211170379667,0.251484839012191
"661","New York Knicks",2001,0.585,"East","Yes",0.476040658276863,0.453076798181523,0.252770053657831,0.260351989037811,0.224513505663665,0.70286828181565,0.221684414327202,0.239974021756779
"662","New York Knicks",2004,0.476,"East","Yes",0.473514509442653,0.461022954860576,0.261350180856758,0.23177153714487,0.261563876651982,0.686184565569347,0.210962690004606,0.258511785549222
"663","New York Knicks",2011,0.512,"East","Yes",0.512960535896316,0.510917030567686,0.216741808973844,0.229585277155347,0.227260531258385,0.680815876515987,0.245958934032329,0.240174672489083
"664","New York Knicks",2012,0.545,"East","Yes",0.491752577319588,0.484536082474227,0.255074928260176,0.27169975365889,0.25016835016835,0.688569472963724,0.226991565135895,0.223558610156548
"665","New York Knicks",2013,0.659,"East","Yes",0.514501420242189,0.508326787117046,0.20822971024878,0.250441599922569,0.240996479826699,0.706291678747463,0.196292420391688,0.216496465043205
"666","Oklahoma City Thunder",2009,0.28,"West","No",0.470964860035736,0.513604941903221,0.253847798204361,0.218424279583078,0.268765133171913,0.699635752311572,0.242108397855867,0.215914105015443
